day,dai_name,dai_num,game,difference,bb,rb,Total,big_per,reg_per
2025-10-01,マジカルハロウィン ボーナストリガー,945,5281,-1990,12,9,251.5,440.1,586.8
2025-10-01,マジカルハロウィン ボーナストリガー,946,8268,3471,32,21,156.0,258.4,393.7
2025-10-01,ルパン三世 大航海者の秘宝,853,4010,-4073,16,15,129.4,250.6,267.3
2025-10-01,ルパン三世 大航海者の秘宝,873,2951,3525,28,13,72.0,105.4,227.0
2025-10-01,七つの魔剣が支配する,857,885,-907,10,2,73.8,88.5,442.5
2025-10-01,七つの魔剣が支配する,877,1540,-1305,9,8,90.6,171.1,192.5
2025-10-01,少女☆歌劇 レヴュースタァライト ‐The SLOT‐,947,3745,-504,15,23,98.6,249.7,162.8
2025-10-01,少女☆歌劇 レヴュースタァライト ‐The SLOT‐,948,5963,4006,35,65,59.6,170.4,91.7
2025-10-01,押忍！番長4,862,2610,-1696,15,5,130.5,174.0,522.0
2025-10-01,押忍！番長4,887,1692,-1440,11,3,120.9,153.8,564.0
2025-10-01,痛いのは嫌なので防御力に極振りしたいと思います。,860,5626,8485,55,33,63.9,102.3,170.5
2025-10-01,痛いのは嫌なので防御力に極振りしたいと思います。,880,6403,216,34,24,110.4,188.3,266.8
2025-10-01,緑ドン VIVA!情熱南米編 REVIVAL,858,2733,6137,31,34,42.0,88.2,80.4
2025-10-01,緑ドン VIVA!情熱南米編 REVIVAL,885,1633,1391,13,17,54.4,125.6,96.1
2025-10-01,翔べ！ハーレムエース,955,3137,438,10,5,209.1,313.7,627.4
2025-10-01,翔べ！ハーレムエース,956,1143,-943,0,3,381.0,0.0,381.0
2025-10-01,ギルティクラウン2,871,1060,-399,6,7,81.5,176.7,151.4
